CurrentState|Input|Output|Movement|NewState
S0|0|0|>|S0
S0|X|X|>|S0
S0|B|B|>|S0
S0|C|C|>|S0
S0|N|I|<|S1
S0|I|I|>|S1
S0|Y|Y|>|S0
S0|A|A|>|S0
S0|#|#|<|S2
S1|0|0|>|S3
S1|X|X|>|S3
S1|B|B|>|S3
S1|C|C|>|S3
S2|0|0|<|S2
S2|X|X|<|S2
S2|B|B|<|S2
S2|C|C|<|S2
S2|A|A|<|S2
S2|Y|Y|<|S2
S2|~|~|>|S11
S2|#|#|<|S11
S2|I|I|<|S2
S2|#|#|<|S0
S3|0|0|>|S4
S3|X|X|>|S4
S3|B|B|>|S4
S3|C|C|>|S4
S3|~|~|>|S0
S3|#|#|<|S0
S4|0|0|>|S5
S4|X|X|>|S5
S4|B|B|>|S5
S4|C|C|>|S5
S4|~|~|>|S0
S4|#|#|<|S0
S5|0|0|>|S6
S5|X|X|>|S6
S5|B|B|>|S6
S5|C|C|>|S6
S5|~|~|>|S0
S5|#|#|<|S0
S6|0|0|>|S7
S6|X|X|>|S7
S6|B|B|>|S7
S6|C|C|>|S7
S6|~|~|>|S0
S6|#|#|<|S0
S7|0|0|>|S8
S7|X|X|>|S8
S7|B|B|>|S8
S7|C|C|>|S8
S7|~|~|>|S0
S7|#|#|<|S0
S8|0|A|>|S9
S8|X|Y|>|S9
S8|B|B|>|S9
S8|C|C|>|S9
S8|A|A|>|S9
S8|~|~|>|S0
S8|#|#|<|S10
S9|0|0|>|S9
S9|X|X|>|S9
S9|B|B|>|S9
S9|C|C|>|S9
S9|A|A|>|S9
S9|~|~|>|S0
S9|#|#|<|S10
S10|0|0|<|S10
S10|X|X|<|S10
S10|B|B|<|S10
S10|C|C|<|S10
S10|A|A|<|S10
S10|Y|Y|<|S10
S10|I|N|<|S10
S10|N|N|<|S9
S10|~|~|>|S11
S10|#|#|<|S11
S11|0|0|>|S11
S11|X|X|>|S11
S11|B|B|>|S11
S11|C|C|>|S11
S11|N|I|<|S12
S11|I|I|>|S12
S11|Y|Y|>|S11
S11|A|A|>|S11
S11|Y|Y|>|S11
S12|0|0|>|S13
S12|X|X|>|S13
S12|B|B|>|S13
S12|C|C|>|S13
S12|A|A|>|S13
S12|Y|Y|>|S13
S12|~|~|>|S10
S12|#|#|<|S10
S13|0|0|>|S14
S13|X|X|>|S14
S13|B|B|>|S14
S13|C|C|>|S14
S13|A|A|>|S14
S13|Y|Y|>|S14
S13|~|~|>|S10
S13|#|#|<|S10
S14|0|0|>|S15
S14|X|X|>|S15
S14|B|B|>|S15
S14|C|C|>|S15
S14|A|A|>|S15
S14|Y|Y|>|S15
S14|~|~|>|S10
S14|#|#|<|S10
S15|0|0|>|S16
S15|X|X|>|S16
S15|B|B|>|S16
S15|C|C|>|S16
S15|A|A|>|S16
S15|Y|Y|>|S16
S15|~|~|>|S10
S15|#|#|<|S10
S16|0|0|>|S17
S16|X|X|>|S17
S16|B|B|>|S17
S16|C|C|>|S17
S16|~|~|>|S10
S16|#|#|<|S10
S17|0|0|>|S18
S17|X|X|>|S18
S17|B|B|>|S18
S17|C|C|>|S18
S17|A|A|>|S18
S17|Y|Y|>|S18
S18|0|0|>|S19
S18|X|X|>|S19
S18|B|B|>|S19
S18|C|C|>|S19
S18|A|A|>|S19
S18|Y|Y|>|S19
S19|0|0|>|S20
S19|X|X|>|S20
S19|B|B|>|S20
S19|C|C|>|S20
S19|A|A|>|S20
S19|Y|Y|>|S20
S20|0|0|>|S21
S20|X|X|>|S21
S20|B|B|>|S21
S20|C|C|>|S21
S20|A|A|>|S21
S20|Y|Y|>|S21
S21|0|0|>|S22
S21|X|X|>|S22
S21|B|B|>|S22
S21|C|C|>|S22
S21|~|~|>|S10
S21|#|#|<|S10
S22|0|A|>|S23
S22|X|Y|>|S23
S22|B|B|>|S23
S22|C|C|>|S23
S22|0|0|>|S23
S22|X|X|>|S23
S22|B|B|>|S23
S22|C|C|>|S23
S22|~|~|>|S11
S22|#|#|<|S23
S23|0|0|>|S23
S23|X|X|>|S23
S23|B|B|>|S23
S23|C|C|>|S23
S23|A|A|>|S23
S23|~|~|>|S11
S23|#|#|<|S24
S24|0|0|<|S24
S24|X|X|<|S24
S24|B|B|<|S24
S24|C|C|<|S24
S24|A|A|<|S24
S24|Y|Y|<|S24
S24|I|N|<|S24
S24|N|N|<|S23
S24|~|~|>|S25
S24|#|#|<|S25
